Entity;Attribute;Description
Sample Collection;ID;Description
Sample Collection;Acronym;Description
Sample Collection;Name;Description
Sample Collection;Description;Description
Sample Collection;Sex;Description
Sample Collection;Age Low;Description
Sample Collection;Age High;Description
Sample Collection;Age Unit;Description
Sample Collection;Data categories;Description
Sample Collection;Material type;Description
Sample Collection;Storage temperature;Description
Sample Collection;Collection type;Description
Sample Collection;Disease;Description
Sample Collection;Contact information;Description
Study;ID;Description
Study;Name;Description
Study;Description;Description
Study;Principal Investigator;Description
Study;Contact information;Description
Study;Study design;Description
Study;Data categories;Description
Study;Material type;Description
Study;Total number of participants;Description
Study;Total number of sample donors;Description
Study;Inclusion criteria;Description
Sample;Sample ID;Description
Sample;Parent sample ID;Description
Sample;Material type;Description
Sample;Storage temperature;Description
Sample;Sampled time;Description
Sample;Anatomical site;Description
Sample;Sex;Description
Sample;Age;Description
Sample;Age Unit;Description
Disease;Disease Ontology;Description
Disease;Disease Ontology Version;Description
Disease;Disease Ontology Code;Description
Disease;Disease Ontology Description;Description
Disease;Disease Free Text;Description
Contact information;First name;Description
Contact information;Last name;Description
Contact information;Phone;Description
Contact information;Email;Description
Contact information;Address;Description
Contact information;ZIP;Description
Contact information;City;Description
Contact information;Country;Description
